iter	Passed	Remaining
0	142	142425
1	143	71500
2	143	47848
3	144	36001
4	145	28929
5	146	24196
6	146	20806
7	147	18264
8	147	16285
9	148	14701
10	149	13404
11	149	12327
12	150	11411
13	150	10627
14	151	9947
15	152	9352
16	152	8826
17	153	8359
18	153	7943
19	154	7570
20	155	7233
21	155	6924
22	156	6643
23	157	6385
24	157	6146
25	158	5926
26	158	5722
27	159	5532
28	160	5358
29	160	5197
30	161	5043
31	161	4898
32	162	4762
33	163	4635
34	163	4514
35	164	4399
36	164	4291
37	165	4189
38	166	4091
39	166	3998
40	167	3910
41	167	3827
42	168	3751
43	169	3675
44	169	3602
45	170	3532
46	170	3465
47	171	3401
48	172	3340
49	172	3280
50	173	3223
51	173	3168
52	174	3116
53	175	3067
54	175	3021
55	176	2974
56	177	2928
57	177	2884
58	178	2841
59	178	2800
60	179	2760
61	179	2721
62	180	2683
63	181	2647
64	181	2612
65	182	2579
66	182	2547
67	183	2516
68	184	2486
69	184	2457
70	185	2427
71	186	2400
72	186	2373
73	187	2347
74	188	2320
75	188	2294
76	189	2269
77	190	2246
78	190	2224
79	191	2201
80	192	2179
81	192	2157
82	193	2132
83	193	2110
84	194	2090
85	194	2069
86	195	2049
87	195	2030
88	196	2012
89	197	1994
90	197	1975
91	198	1957
92	198	1940
93	199	1923
94	200	1906
95	200	1890
96	201	1873
97	201	1857
98	202	1842
99	202	1826
100	203	1811
101	204	1797
102	204	1783
103	205	1770
104	206	1756
105	206	1743
106	207	1730
107	207	1717
108	208	1704
109	209	1691
110	209	1678
111	210	1666
112	210	1654
113	211	1643
114	211	1631
115	212	1619
116	213	1607
117	213	1596
118	214	1585
119	214	1574
120	215	1564
121	215	1552
122	216	1543
123	217	1533
124	217	1523
125	218	1513
126	218	1503
127	219	1493
128	219	1484
129	220	1476
130	221	1467
131	221	1458
132	222	1449
133	222	1440
134	223	1431
135	224	1423
136	224	1415
137	225	1407
138	225	1398
139	226	1390
140	226	1382
141	227	1373
142	227	1366
143	228	1358
144	229	1350
145	229	1343
146	230	1336
147	230	1328
148	231	1321
149	231	1314
150	232	1307
151	233	1300
152	233	1293
153	234	1287
154	234	1281
155	235	1275
156	236	1268
157	236	1262
158	237	1255
159	238	1249
160	238	1242
161	238	1236
162	239	1230
163	240	1224
164	240	1218
165	241	1212
166	241	1206
167	242	1200
168	243	1195
169	243	1189
170	244	1184
171	244	1178
172	245	1173
173	245	1167
174	246	1162
175	247	1157
176	247	1151
177	248	1146
178	248	1141
179	249	1136
180	250	1131
181	250	1126
182	251	1121
183	251	1116
184	252	1111
185	252	1106
186	253	1102
187	254	1097
188	254	1092
189	255	1088
190	255	1083
191	256	1079
192	256	1074
193	257	1070
194	258	1065
195	258	1061
196	259	1056
197	259	1052
198	260	1048
199	260	1043
200	261	1039
201	262	1035
202	262	1031
203	263	1027
204	263	1023
205	264	1019
206	265	1015
207	265	1012
208	266	1008
209	267	1004
210	267	1000
211	268	997
212	268	993
213	269	989
214	270	986
215	270	982
216	271	978
217	271	974
218	272	971
219	272	967
220	273	964
221	274	960
222	274	956
223	275	953
224	275	949
225	276	946
226	276	943
227	277	939
228	278	936
229	278	932
230	279	929
231	279	926
232	280	923
233	281	919
234	281	916
235	282	913
236	282	910
237	283	907
238	283	904
239	284	900
240	285	897
241	285	894
242	286	891
243	286	888
244	287	885
245	287	882
246	288	879
247	289	876
248	289	873
249	290	870
250	290	867
251	291	864
252	291	862
253	292	859
254	293	856
255	293	853
256	294	850
257	294	848
258	295	845
259	296	843
260	297	840
261	297	838
262	298	835
263	298	833
264	299	830
265	299	827
266	300	824
267	301	822
268	301	819
269	302	817
270	302	814
271	303	811
272	303	809
273	304	806
274	305	804
275	305	801
276	306	799
277	306	796
278	307	794
279	308	792
280	308	789
281	309	787
282	309	784
283	310	782
284	311	780
285	311	778
286	312	776
287	312	773
288	313	771
289	314	769
290	314	766
291	315	764
292	315	762
293	316	759
294	317	757
295	317	755
296	318	753
297	318	750
298	319	748
299	319	746
300	320	744
301	321	742
302	321	739
303	322	737
304	322	735
305	323	733
306	323	731
307	324	729
308	325	727
309	325	725
310	326	723
311	327	721
312	327	719
313	328	717
314	328	715
315	329	713
316	330	711
317	330	709
318	331	706
319	331	704
320	332	702
321	332	700
322	333	698
323	334	696
324	334	694
325	335	692
326	335	691
327	336	689
328	336	687
329	337	685
330	338	683
331	338	681
332	339	679
333	339	677
334	340	675
335	341	674
336	341	672
337	342	670
338	342	668
339	343	666
340	343	664
341	344	662
342	345	661
343	345	659
344	346	657
345	346	655
346	347	653
347	348	652
348	348	650
349	349	648
350	349	646
351	350	644
352	350	643
353	351	641
354	352	639
355	352	637
356	353	636
357	353	634
358	354	632
359	355	631
360	355	629
361	356	628
362	356	626
363	357	624
364	358	622
365	358	621
366	359	619
367	359	617
368	360	616
369	360	614
370	361	612
371	362	611
372	362	609
373	363	608
374	363	606
375	364	604
376	364	603
377	365	601
378	366	599
379	366	598
380	367	596
381	367	594
382	368	593
383	368	591
384	369	590
385	370	588
386	370	587
387	371	586
388	372	584
389	372	583
390	373	581
391	373	579
392	374	578
393	375	576
394	375	575
395	376	573
396	376	572
397	377	570
398	377	569
399	378	567
400	379	566
401	379	564
402	380	563
403	380	561
404	381	560
405	381	558
406	382	557
407	383	556
408	383	554
409	384	553
410	384	551
411	385	550
412	386	548
413	386	547
