iter	Passed	Remaining
0	137	136907
1	138	68949
2	139	46263
3	140	34898
4	141	28096
5	142	23555
6	143	20310
7	144	17904
8	145	16012
9	146	14512
10	147	13270
11	148	12230
12	149	11353
13	150	10604
14	151	9957
15	152	9386
16	153	8881
17	154	8431
18	155	8031
19	156	7680
20	157	7353
21	159	7080
22	160	6806
23	161	6564
24	162	6344
25	163	6133
26	164	5932
27	165	5747
28	166	5572
29	167	5410
30	168	5258
31	169	5117
32	170	4987
33	171	4868
34	172	4751
35	173	4640
36	174	4535
37	175	4437
38	176	4346
39	177	4260
40	178	4176
41	179	4096
42	180	4016
43	181	3942
44	182	3873
45	183	3803
46	184	3738
47	185	3674
48	186	3613
49	187	3555
50	188	3502
51	189	3448
52	190	3396
53	191	3346
54	191	3298
55	192	3252
56	194	3209
57	195	3167
58	196	3126
59	196	3085
60	197	3045
61	198	3009
62	199	2973
63	200	2937
64	201	2902
65	202	2868
66	203	2838
67	204	2800
68	205	2768
69	206	2741
70	207	2713
71	208	2686
72	209	2659
73	210	2632
74	211	2605
75	212	2579
76	213	2556
77	214	2532
78	215	2508
79	216	2485
80	217	2462
81	218	2441
82	219	2421
83	220	2399
84	220	2375
85	221	2355
86	222	2332
87	223	2314
88	224	2295
89	225	2279
90	226	2262
91	227	2244
92	228	2227
93	229	2214
94	230	2196
95	231	2179
96	232	2163
97	233	2148
98	234	2133
99	235	2118
100	236	2103
101	236	2085
102	238	2072
103	239	2059
104	239	2045
105	240	2031
106	241	2019
107	243	2007
108	244	1994
109	244	1981
110	245	1968
111	246	1955
112	247	1943
113	248	1931
114	249	1919
115	250	1907
116	251	1897
117	252	1886
118	253	1874
119	254	1865
120	255	1855
121	256	1844
122	256	1830
123	257	1820
124	258	1810
125	259	1801
126	260	1792
127	261	1780
128	262	1770
129	263	1762
130	264	1753
131	265	1745
132	266	1736
133	267	1728
134	268	1720
135	269	1711
136	270	1703
137	271	1693
138	272	1685
139	273	1677
140	274	1669
141	275	1662
142	276	1655
143	277	1647
144	278	1641
145	279	1634
146	280	1627
147	281	1619
148	282	1611
149	283	1604
150	284	1598
151	285	1591
152	286	1584
153	287	1577
154	288	1570
155	289	1564
156	290	1558
157	291	1552
158	292	1545
159	293	1539
160	294	1533
161	295	1527
162	296	1520
163	297	1514
164	298	1508
165	299	1502
166	300	1496
167	301	1490
168	302	1486
169	303	1480
170	304	1474
171	305	1469
172	306	1463
173	307	1457
174	307	1451
175	308	1446
176	309	1440
177	310	1435
178	311	1429
179	312	1424
180	313	1418
181	314	1413
182	315	1408
183	316	1402
